,UTSW15_T,UTSW24_T,UTSW31_T,UTSW32_T,UTSW37_T,UTSW39_T,UTSW45_T,UTSW46_T,UTSW47_T,UTSW48_T,UTSW49_T,UTSW50_T,UTSW52_T,UTSW54_T,UTSW60_T,UTSW62_T,UTSW65_T,UTSW70_T,UTSW79_T,XP615_T,XP659_T,XP681_T,
TNFRSF4,0.0964001627,0.0345215118,0.4491427319,0.0369901808,0.0302304753,0.6345321081,0.1784890805,0.0929242095,0.0618016519,0.1201986124,0.1175492211,0.3598502597,0.0772980887,0.0798958318,0.095976462,0.0907527394,0.1643571886,0.367671986,0.0725801412,0.0537647657,0.1366859703,0.165980008,0.0660993408
FAM132A,0.0105934245,0.1380860471,0.0561428415,0.3802590591,0.0090134549,0.0227242904,0.0314384176,0.0080304872,0.0432611563,0.0930950038,0.0152122521,0.01402014,0.014520083,0.0142671128,0.0112913485,0.1083476582,0.0454399286,0.0248427018,0.0302417255,0.2662636013,0.0133759971,0.1016528279,0.0417842262
RP5-902P8.12,0.0035311415,0.0082194076,0.0293473944,0.0399493953,0.0015910776,0.0139841787,0.0022006892,0.0022944249,0.0142143799,0.0125737176,0.004148796,0.0073956238,0.0017082451,0.0114136903,0.0014114186,0.0037041934,0.0122494446,0.0066247205,0.0053763068,0.0768068081,0.0029259994,0.0121109814,0.0084984867
RP5-902P8.10,0.0204806207,0.0139729929,0.0484869995,0.019234894,0.0071598494,0.0069920893,0.0522283389,0.0195026119,0.0395530572,0.0294604442,0.0186695822,0.01635683,0.014520083,0.0156938241,0.0112913485,0.0092604836,0.0436706718,0.0066247205,0.0100805752,0.1075295313,0.0221539952,0.0571797157,0.0347021539
SCNN1D,0.1370082899,0.0821940756,0.4389349425,0.2034459946,0.0883048094,0.0419525361,0.3904448635,0.0722743851,0.3825522253,0.1826547542,0.106485765,0.0625064574,0.1340972367,0.1141369025,0.0776280207,0.0444503213,0.3731874989,0.0645910246,0.0497308375,0.4079209577,0.1400299696,0.3680269159,0.4095798442
TAS1R3,0.0084747396,0.0065755261,0.468282337,0.0177552868,0.0127286212,0.015732201,0.144261771,0.6562055286,0.0358449581,0.0777755728,0.0193610482,0.0595855949,0.016228328,0.0142671128,0.0225826969,0.0203730639,0.0183693328,0.0380921427,0.0094085368,0.0307227232,0.0158839966,0.0198540679,0.0467416767
MXRA8,2.2221685276,0.4557661493,2.3375837637,0.8463353377,4.9109566243,0.8211334925,0.9269262474,0.6005657241,0.5005933804,0.2769281757,2.1165774465,2.8087013774,0.269048596,0.9444828685,1.6640624805,0.2713321697,2.9504822422,2.5215342281,1.4660516477,3.5695964055,0.8694398113,7.0697635806,0.9541109354
ANKRD65,0.0134183377,0.0139729929,0.0344512891,0.0029592145,0.0047732329,0.0087401117,0.0243394201,0.002673005,0.0111242973,0.0247467731,0.0912735129,0.012851795,0.0059788577,0.0085602677,0.0141141856,0.0351898377,0.0357718587,0.0397483228,0.0188170736,0.3328295017,0.0160929965,0.3696827452,0.0174691115
RP4-758J18.10,0.0105934245,0.0057535853,0.0561428415,0.0162756796,0.0023866165,0.0017480223,0.0527354101,0.0080304872,0.0037080991,0.0329956975,0.0622319406,0.02103021,0.0034164901,0.045654761,0.0098799299,0.0018520967,0.0087012629,0.0811528257,0.0053763068,0.0947283966,0.0129579972,0.0694892378,0.0028328289
VWA1,2.4444891959,0.8465989789,2.6017103135,1.9323670472,0.3825189327,0.4230214054,1.8193716497,0.9362859792,0.9369130429,2.6121986685,5.1560269135,2.8583560398,0.3668456254,0.9644568265,0.8517911001,0.8640031207,2.7676493719,5.7139538981,0.488235857,2.8341712181,1.3242237125,1.653546049,0.4187865381
ATAD3C,0.2590939758,0.0774679163,0.2256687033,0.2005903527,0.007438288,0.0122361564,0.0733427858,0.1324112624,0.1798675277,0.0877685554,0.2508915259,0.0843194586,0.0230613082,0.0758439717,0.0108255803,0.0283926427,0.2543669196,0.1255881383,0.0230038725,0.6703186164,0.0357515322,0.05563904,0.0312555455
TMEM240,0.0293084744,0.0090413483,0.0331753154,0.0073980362,0.045345713,0.0139841787,0.0091272825,0.0022944249,0.0290467764,0.0023568355,0.0082975921,0.033882005,0.0034164901,0.0142671128,0.0098799299,0.0407461279,0.0125684909,0.0198741614,0.0134407669,0.0460840848,0.0075239984,0.0051620577,0.0099149011
C1orf233,0.0296615885,0.0702759347,0.1327012617,0.0340309664,0.560059332,0.1153694742,0.0436081276,0.0493301359,0.1263225765,0.0282820265,0.099571105,0.0771107699,0.0862663752,0.0970163672,0.1030335548,0.5352559526,0.2330004851,0.043060683,0.10147779,0.5658101528,0.0819279822,0.3271950398,0.0467416767
MMP23B,0.0060029405,0.0127400817,0.2266894822,0.0091291766,0.3986683708,0.026220335,0.0594084678,0.0183553994,0.033372892,0.0200331021,0.0182132146,0.1450733985,0.0381536533,0.0404329977,0.0296397897,0.0237624009,0.0196551861,0.033405153,0.1316926339,0.040963631,0.0174180562,0.024090926,0.0193576641
RP11-345P4.7,0.019541337,0.0134222925,0.0246773308,0.0757115021,0.0090134549,0.0361316217,0.0554431706,0.0535404056,0.029256902,0.0151191,0.0198174158,0.0426445925,0.0298942884,0.0390062864,0.0190541505,0.0123534851,0.064292665,0.028155062,0.0212834544,0.004275579,0.0156039366,0.0291179761,0.066571479
RP11-345P4.6,0.0064761135,0.0065755261,0.0106416204,0.0409407322,0.0070246078,0.0101909702,0.0184269693,0.0160609745,0.0053520231,0.0072708376,0.0149771537,0.010515105,0.0085412253,0.0228273805,0.0119970577,0.010186532,0.0122494446,0.0121398003,0.0079502136,0.0051204539,0.0078709383,0.0101930785,0.0155002954
MMP23A,0.002944972,0.0079481671,0.0493291421,0.0061699622,0.0643034031,0.0110649814,0.0289030613,0.0093727258,0.0105062808,0.0170870577,0.0094454257,0.0552977688,0.0166553893,0.0251957212,0.0110514073,0.0166688705,0.0040315852,0.0104836201,0.0440185115,0.0093960329,0.0062699986,0.0056266429,0.0092066939
CALML6,0.0063560547,0.0008219408,0.0893181569,0.0088776434,0.0063643106,0.0069920893,0.0152121375,0.0091776997,0.0284287599,0.0023568355,0.002765864,0.00467338,0.0085412253,0.0171205354,0.0014114186,0.0166688705,0.003867228,0.0049685404,0.0033601917,0.0256022694,0.0041799991,0.0095299526,0.0193576641
TMEM52,0.014124566,0.003287763,0.0408311574,0.025153323,0.0222750871,0.010488134,0.0070989975,0.0103249122,0.0284287599,0.0094273422,0.0290415723,0.003505035,0.0068329802,0.0028534226,0.0014114186,0.0222251607,0.0106348769,0.0033123602,0.0073924218,0.040963631,0.0033439993,0.0329577528,0.0141641445
CFAP74,0.021186849,0.0123291113,0.0791103676,0.0310717519,0.0063643106,0.0087401117,0.0324525601,0.0160609745,0.0296647929,0.015319431,0.0165951842,0.03972373,0.0093953478,0.0085602677,0.0042342557,0.0092604836,0.0528553383,0.0596224842,0.0080644601,0.0204818155,0.0213639754,0.0377227291,0.0193576641
GABRD,0.1398332031,0.1109620021,0.2118116292,0.291482625,0.0755761883,0.0681728711,0.1658122992,0.0378580113,0.0939385109,0.137874879,0.2516936264,0.5140717995,0.1212853988,0.0485081836,0.0748051836,0.0222251607,0.358685394,0.3461416445,0.0564512209,0.1049693044,0.1772319615,0.1551913075,0.2540103241
RP5-892K4.1,0.0508484375,0.0221924004,0.0229675261,0.1006132919,0.0007955388,0.0087401117,0.0275846761,0.0412996487,0.033372892,0.0329956975,0.0373391644,0.01869352,0.0204989406,0.0114136903,0.0366968825,0.033337741,0.0647760685,0.0149056211,0.0191530928,0.0102409077,0.022989995,0.0291854799,0.0415481571
PLCH2,0.0210102919,0.2237076156,0.3725843117,1.3469308531,0.0445501741,0.0734169381,2.2226656987,0.0384316175,0.0197765286,0.0854352883,0.0798643238,0.0537438699,0.0623509445,0.0670554302,0.0564567423,0.0703796754,0.0232033678,0.0612786643,0.0060483451,0.1126499852,0.04597999,0.0892122689,0.0439088478
RP3-395M20.12,0.0194212782,0.0164388151,0.0459350521,0.0088776434,0.0155130071,0.020976268,0.039298022,0.022370643,0.0123603304,0.0141410132,0.0117549221,0.01402014,0.0059788577,0.0142671128,0.0077628021,0.0314856443,0.0135352979,0.0124213509,0.0094085368,0.0051204539,0.0135849971,0.0250161256,0.0122755919
RP3-395M20.8,0.6388399941,0.359944296,0.3228213386,0.3299524131,0.02028624,0.2355460098,0.6902963773,0.2477978919,0.1103159487,0.2774231112,0.1884244868,0.2030934112,0.2184418363,0.2679934472,0.0838664907,0.153112836,0.2943153845,0.1200730585,0.2276529891,0.15873407,0.2280523905,0.4352011694,0.3721628959
TNFRSF14,2.2554106936,1.112907784,3.114013742,1.4665570979,0.0680185694,1.2116941231,2.1592615094,1.2412035796,0.6603753713,1.1250118757,1.0099275907,0.7391768305,1.0029533774,1.150927991,0.3577946046,0.6963883674,1.1548992923,0.6459102456,1.115771822,1.6972256404,1.2523611681,1.4493429893,1.8660599341
TTC34,0.021186849,0.0263021042,0.0676266045,0.0362503772,0.0059665412,0.0043700558,0.1227112428,0.0137665496,0.0148323965,0.0659913951,0.0380306304,0.0064258975,0.0222071857,0.0185472467,0.0063513835,0.0074083869,0.0145021049,0.028983152,0.0030241725,0.0460840848,0.0079419983,0.0164788764,0.0564205088
LINC00982,0.0091809679,0.0016438815,0.0280714207,0.0088776434,0.0023866165,0.010488134,0.01216971,0.0034416374,0.0061801652,0.0047136711,0.0055317281,0.005841725,0.0076871027,0.0028534226,0.0028228371,0.0092604836,0.004834035,0.0414045029,0.002016115,0.0281624963,0.0075239984,0.0075445458,0.0023606907
PRDM16,0.0240117621,0.0090413483,0.0178636314,0.0473474315,0.0119330824,0.2901717078,0.0243394201,0.0034416374,0.0086522313,0.0424230397,0.0193610482,0.026871935,0.0076871027,0.0028534226,0.0112913485,0.0574149984,0.0338382447,0.0927460866,0.0490587991,0.0115210212,0.0519699287,0.0138978476,0.0179412497
ARHGEF16,0.0547326931,0.6464564048,0.5818439936,1.291697115,0.0143196988,0.9142156819,0.2575921957,0.1250461584,0.1186591717,0.8417791649,0.7772077915,0.1530531949,0.046976739,0.3937723138,0.0112913485,0.0388940312,0.0995811202,0.0645910246,0.1273512662,0.6144544646,0.0810919824,0.1403682604,0.1864945688
MEGF6,1.787110709,1.1633174106,0.1582207351,3.7959323581,1.194501544,1.3083947188,0.2707760482,0.1743762943,0.9356770099,0.5945117645,0.5227483011,0.577746602,0.220363612,0.3737983558,0.035285464,0.3074480558,0.2368677131,0.3916865977,0.1041659433,0.2022579279,0.5845728731,0.9128900442,0.8858869729
RP11-46F15.2,0.007062283,0.0115071706,0.1639626166,0.0310717519,0.0063643106,0.0122361564,0.0152121375,0.014913762,0.0098882643,0.0106057599,0.0235098442,0.005841725,0.0059788577,0.0285342256,0.0070570928,0.0092604836,0.0077344559,0.0165618012,0.0060483451,0.0537647657,0.0079419983,0.0317665087,0.0122755919
TP73,0.0112996528,0.0624674975,0.1556687878,0.0488270387,0.0039776941,0.2569592834,0.0578061226,0.1101323964,0.0197765286,0.0212115198,0.0401050284,0.0560805599,0.0187906956,0.0228273805,0.0084685114,0.033337741,0.0232033678,0.1308382292,0.0799725629,0.1100897582,0.027587994,0.0486424665,0.0278561508
TP73-AS1,0.7637152818,0.5508400366,0.502733626,0.5999807333,0.5405049877,0.4894462542,0.4155651733,0.4006868968,0.4163330082,0.5597130877,0.6948403608,0.5900142244,0.5343561354,0.788486257,0.1002107177,0.2441619108,1.6456118492,0.5700075109,0.1740579311,0.5850118549,0.5861278328,0.8575091071,0.7819788091
SMIM1,0.0642667751,0.0189046374,0.0586947888,0.1124501498,0.0031821553,0.0358344579,0.0192687075,0.0401524362,0.0098882643,0.0447798752,0.0732953967,0.029208625,0.0051247352,0.0428013385,0.0042342557,0.0129646771,0.0551079985,0.0496854035,0.0127687285,0.2150590626,0.0250799946,0.0629373954,0.1444742736
LINC01134,0.0035311415,0.0238362819,0.0280714207,0.0221941085,0.0192520395,0.0454485807,0.1703759404,0.0091776997,0.0123603304,0.0176762665,0.0511684845,0.01402014,0.0316025335,0.0142671128,0.0112913485,0.0203730639,0.0174025259,0.0314674222,0.0137767861,0.0435238579,0.0758669835,0.0494366292,0.0387153282
AJAP1,0.0169494792,0.1660320328,0.1786363138,0.2781661599,0.0007955388,0.0069920893,0.0446222701,0.044741286,0.0037080991,0.0294604442,0.2274923162,0.1174186724,0.0059788577,0.091309522,0.0084685114,0.246328864,0.2334838886,0.1573371111,0.0040322301,0.1536136162,0.0102409978,0.0051620577,0.1392807539
KCNAB2,0.9689452253,0.4654239532,2.3069603957,0.0917356485,0.2255352566,1.5714720804,1.0896961191,1.1885121112,0.6829082536,1.1271565961,0.8581093143,0.9755680741,0.6528314711,1.0400725244,0.6511297236,1.2001586757,0.6409930357,0.7767484749,0.9848721933,0.5709306067,0.5516888202,0.8259292266,0.6201534586
CHD5,0.0091809679,0.0041097038,0.0357272628,0.0014796072,0.0111375435,0.0017480223,0.0111555675,0.0126193371,0.0098882643,0.0106057599,0.0055317281,0.003505035,0.0025623676,0.0142671128,0.0042342557,0.0018520967,0.002900421,0.0091089906,0.0080644601,0.0025602269,0.0066879985,0.0317665087,0.0297447034
RP1-120G22.11,0.0148307943,0.0049316445,0.0102077894,0.0177552868,0.0119330824,0.010488134,0.0091272825,0.0045888499,0.0148323965,0.0117841777,0.0110634561,0.003505035,0.0025623676,0.0285342256,0.035285464,0.0074083869,0.005800842,0.0049685404,0.0013440767,0.0153613616,0.0025079995,0.0089343306,0.0051935196
RNF207,0.2669542968,0.1693197958,0.6507465718,0.4217324498,0.1626876895,0.2464711494,0.2971437533,0.3762856877,1.1556908907,0.4601721388,0.308739572,0.2342531723,0.1567314837,0.5906584707,0.6657802482,0.3928667566,1.038834113,0.3001826462,0.1693536627,0.8845584064,0.1051269772,0.7840371432,0.1128410176
GPR153,0.2378788777,0.4824792239,0.0969739989,0.3795192554,0.6117693555,1.0802778039,0.4137701411,0.2374729797,0.1100069404,0.1814763364,0.7002199663,0.4206041996,0.3604397064,0.1312574379,0.0945650434,0.1500198345,0.1015147342,0.3511101848,0.2573906858,0.1689749778,0.2907189369,0.4459223661,0.1515563458
ACOT7,0.3305148436,1.2986663949,0.6201232037,0.9417700042,0.4529241186,0.2761875291,0.3392306671,0.2627116539,0.6792001545,0.5774247068,1.3255403348,0.3298588435,0.0905369879,0.6020721609,0.2441754106,1.2464610937,0.2141477487,0.650878786,0.2459660339,0.4173169906,0.2894649372,0.6262648069,0.2414986632
HES2,0.0515546658,0.1783611441,0.0229675261,0.0088776434,0.2442304189,0.0297163797,0.0633839064,0.0045888499,0.0049441322,0.1037007637,0.0401050284,0.024535245,0.0093953478,0.0142671128,0.0042342557,0.0537108049,0.0686432964,0.059804664,0.0275535721,0.0102409077,0.0146299968,0.0223159724,0.0122755919
ESPN,0.0903972222,0.4709720533,0.3113375755,0.2766865527,0.0214795482,0.0227242904,0.4523075562,0.0137665496,0.0407890903,0.14258855,0.4045076139,0.0560805599,0.0153742055,0.0342410708,0.012702767,0.033337741,0.5604290091,0.043060683,0.0349459939,0.4505999407,0.027587994,0.301714329,0.0505187819
RP1-202O8.2,0.007062283,0.0254801634,0.007655842,0.0133164651,0.0007955388,0.0017480223,0.0223111351,0.0011472125,0.001236033,0.0070705066,0.0082975921,0.003505035,0.0008541225,0.0057068451,0.0014114186,0.0018520967,0.0299710168,0.0016561801,0.002016115,0.0051204539,0.0004179999,0.0127066035,0.0009442763
TNFRSF25,0.189269184,0.0969890092,0.7400647287,0.1923489404,0.140014833,0.1957785017,0.3967832541,0.0608022605,0.1854049557,0.2132936162,0.210897132,0.1968661323,0.1106088673,0.156938241,0.0790394393,0.2518851542,0.3212989677,0.3262674831,0.199259369,0.6874209323,0.2098944744,0.229246981,0.2613284654
RP3-467L1.6,0.0120058811,0.0098632891,0.0102077894,0.0221941085,0.0087509271,0.010488134,0.006084855,0.0091776997,0.0135963634,0.0047136711,0.0055317281,0.008178415,0.0128118379,0.0228273805,0.0084685114,0.0148167738,0.0193361398,0.0115932608,0.0168009586,0.0025602269,0.0104499977,0.0158832544,0.0082624176
PER3,0.8573611542,0.5548100105,0.5690842569,2.0255823029,0.0751784189,0.1345977199,0.2535356257,0.3361332515,0.1137150395,0.2716252958,0.4522187684,0.4895365545,0.6045735483,0.693381683,0.530693378,0.1740970918,2.3996149543,0.2749258994,0.1505365891,0.161294297,0.2539349449,0.1643916826,0.4539608301
RP3-467L1.4,0.0964001627,0.0435628601,0.0331753154,0.2367371574,0.0091486965,0.005244067,0.0263677051,0.0435940736,0.0111242973,0.0247467731,0.0484026205,0.040892075,0.0409978813,0.0827492543,0.0522224867,0.0111125803,0.2330004851,0.028155062,0.0161289203,0.0025602269,0.0280059939,0.0186628239,0.034938223
UTS2,0.1405394314,0.094523187,0.3169518597,0.3506669144,0.031821553,0.0349604467,0.0476646976,0.0642438979,0.0222485947,0.0494935463,0.0788271248,0.0736057349,0.0879746203,0.1312574379,0.0776280207,0.0222251607,0.3896232178,0.0645910246,0.0241933804,0.0358431771,0.0476519897,0.0369285664,0.076014242
TNFRSF9,0.7992385652,0.1068522983,0.3202693912,0.0014796072,0.107660269,0.7131931132,0.1693617979,0.3636663506,0.1223672708,0.514768234,0.1272297452,0.1098244299,0.1699703829,0.889782758,0.2728695499,0.3117634412,0.1392202069,0.0521696737,0.3660256841,0.0281624963,0.1032125376,0.139673368,0.0061377959
ERRFI1,8.0741880762,1.9673152001,1.1662399345,18.2003970485,9.6993445821,10.3217747324,1.5937249429,8.5438648146,2.5540521477,3.7795746631,7.1305634129,9.1953775298,17.2235942884,3.4432250075,5.1700261798,13.4154218314,7.4644750838,4.4692020458,13.1740214226,0.6848607054,0.4508129021,11.6261927582,1.3703809771
SLC45A1,0.0483766384,0.0320556895,0.0484869995,0.1657160102,0.3651523202,1.5574879017,0.0283959901,0.0573606231,0.0111242973,0.061277724,0.0553172805,0.0899625649,0.1934587524,0.0542150287,0.1510217858,0.0425982246,0.0551079985,0.0927460866,0.0682118919,0.0256022694,0.0449349902,0.3206431973,0.0174691115
ENO1-IT1,0.0120058811,0.0049316445,0.0102077894,0.0044388217,0.0039776941,0.0139841787,0.006084855,0.0091776997,0.0111242973,0.0117841777,0.0082975921,0.00467338,0.0290401659,0.0299609369,0.0183484413,0.0185209672,0.0676764894,0.0132494409,0.0168009586,0.0051204539,0.0041799991,0.0142949289,0.0378371513
SLC2A5,2.1845406839,0.7356369768,2.2061584757,3.3228279451,8.4077316138,0.9684043743,3.0616962154,0.7499327867,2.1348762635,1.885444862,2.8305160984,0.6120141608,6.3055424734,4.1769255512,0.1891300868,0.1858208641,0.5385114946,0.6078181029,2.2954612108,0.4582806215,1.9350595199,0.4615395759,0.3165686288
MIR34AHG,0.0608556925,0.0764404903,0.3126135492,0.1997469765,0.0767694965,0.2816763193,0.175446653,0.3728440503,0.4543410242,0.3140483354,0.3249890231,0.2000790811,0.3228583152,0.4280133845,0.2787551653,0.1852096722,0.3427330787,0.1399472199,0.2136409896,0.4006755155,0.3226959299,0.5528841717,0.800566888
RP3-510D11.2,0.0240117621,0.0135620225,0.0586947888,0.0577046821,0.0373903247,0.0244723127,0.0324525601,0.0493301359,0.032136859,0.0365309508,0.0539343485,0.02804028,0.0264777983,0.0513616061,0.0423425568,0.0425982246,0.0734773314,0.0182179813,0.0201611503,0.0742465811,0.0384559917,0.0845108256,0.060197614
