"","UTSW15_G","UTSW24_G","UTSW31_G","UTSW32_G","UTSW37_G","UTSW39_G","UTSW45_G","UTSW46_G","UTSW47_G","UTSW48_G","UTSW49_G","UTSW50_G","UTSW52_G","UTSW54_G","UTSW60_G","UTSW62_G","UTSW65_G","UTSW70_G","UTSW79_G","XP615_G","XP659_G","XP681_G","XP685_G"
"RP11-34P13.15",0.000836117935137189,0.0112922918192988,0.0221212924834182,0.0033624652994792,0.00185731663488348,0.000815225886961576,0.00584363210809111,0.0011642377956543,0.00178007121556547,0.00499019421967815,0.0155068660191431,0.00199555326395234,0.00117682750094446,0.103281499585275,0.0017992342795268,0.0123541289878461,0.000611988400045154,0.00749251464385163,0.0010902583808725,0.00876471711304652,0.00847974121676963,0.037645476396023,0.0070049650796315
"RP11-34P13.16",0.00111203685373246,0.00837992458609766,0.0199266427462573,0.00401254192404518,0.00434009513449159,0.00122283883044236,0.0139594176356338,0.00749478080952457,0.00113479539992299,0.00532287383432336,0.0344190018290168,0.00352215151087588,0.00117682750094446,0.0753556321793972,0.0017992342795268,0.00730217266960191,0.00546060558767562,0.0105794306771185,0.00258476986925953,0.00462495340518794,0.00740064057456339,0.0405499181535613,0.00555727229650765
"RP5-857K21.4",0.0609780810095552,0.0241140343554045,0.0706754902082166,0.0235708817493492,0.0124901683352021,0.0103941300587601,0.0241407971808599,0.0314708029137803,0.0124827493991528,0.0133071845858084,0.0362233878137465,0.0222803521920279,0.00764937875613897,0.0157681678756145,0.0299212660685308,0.0148911376192788,0.0419963130703713,0.0217282924671697,0.0235385559420957,0.0203584031871344,0.167727444500653,0.0172021176412803,0.0214818929108699
"MTND1P23",1.12959533037034,1.39942908910326,0.927870718520899,3.03204704271705,0.00190689592903848,0.685873995477383,1.8510587577241,2.62948927337502,0.852824702414018,2.36972679706003,1.54842094432447,2.70318642911616,0.34725825897869,0.505428726835411,0.206012325005819,0.76459924915226,0.74643946976962,4.69729719069919,1.11909510254187,3.13589448562371,0.970172702911765,0.711200730262644,0.521578024887562
"MTND2P28",38.6013827974733,38.4591555973875,12.5492402572351,52.1133477754611,0.0177341321400579,8.996205164575,45.2427524117627,30.2405237291676,5.37567414870315,25.1925796685268,4.3073542486,23.5150808185657,8.60062019342738,8.24602233697459,6.9122082933721,14.5376440731418,10.9420549439037,25.2575066248925,35.8523015984947,36.636701435081,32.3011327957459,17.1323820671118,18.8928111176709
"AC114498.1",3.05872843621562,4.91841127846263,3.97516130024788,7.91972660204002,0.000953447964519241,2.11850305567044,5.25097986838524,3.52046590541682,3.71546847861582,4.91381098015561,1.44531317376848,7.2544148249133,0.805044156846084,1.50178536070286,0.278881313326655,0.984690263165201,4.47372143905917,2.92606672889267,1.00491809985735,7.14757202620748,5.38332697612519,3.20903874923782,0.77158522857961
"MTCO1P12",67.531656996954,57.2051201635882,50.097026779183,80.9484603648043,0.0390265320837016,19.523958898467,59.4939585236171,64.2653369247334,44.4967591049161,54.7112418759963,31.5973220196332,52.8430386729972,17.9787703167288,37.2851739729903,11.9757033645304,21.9278619727267,33.2010494532206,41.4002792753637,33.1498511996189,84.6211212446248,61.2182978158855,32.2546948770908,16.8523270563305
"MIR6723",1.58653378192282,1.53746430589196,1.63029458616601,2.31799391171964,0.00266965430065388,0.531796302841645,1.5529135824943,1.54279699139752,1.10867285483456,1.37812530366778,7.05616671118674,1.58000923003322,0.495291390322494,1.14505635157669,0.29867289040145,0.531117241754278,1.01023985137454,8.68181647829949,0.643834324187714,2.73057327298699,1.41532850400799,0.78749483812556,0.408167640248328
"MTCO2P12",1.07638478497821,1.24954291885618,0.799755612404245,1.43922481391842,0.00266965430065388,0.428335985527351,1.21948006559465,0.659336969623923,0.73467247548086,0.794405651811297,0.433798810990466,1.38341730023496,0.544082658511651,0.553116382205027,0.202413856446766,0.49673525956221,0.40538111618991,0.505235247464203,0.731275496352522,1.09762430560349,0.595678860889935,0.36953770191921,0.328968726728561
"MTATP8P1",0.0121237100594892,0.0405991319018262,0.0252481828168952,0.0353058856445316,0.000381379185807696,0.00855987181309655,0.0298711547783038,0.0211018100462342,0.0076617231903297,0.0257826701350038,0.00339170297881521,0.0114744312677259,0.0105914475085001,0.00921037843201784,0.00719693711810722,0.01433961400375,0.00194723581832549,0.00599401171508131,0.00183751412506602,0.0123919013825975,0.0155589475574844,0.00283563328697316,0.00350248253981575
"MTATP6P1",33.710076154562,38.5878401005124,28.6618342421349,57.7613816129553,0.0196410280690964,11.0853356315382,36.0112795864106,31.4498248039999,3.31521946579593,34.1475829996237,11.9898056982309,27.5772290426671,18.7629493219831,13.6286706488843,13.5848845271108,16.3133184752261,12.4612605117067,34.2822105433532,35.4229970484085,41.953265364071,37.9403290752106,15.159259337174,13.8676748850847
"MTCO3P12",3.60238904000052,2.49076086345142,2.78593304621394,6.40056477973531,0.00324172307936542,1.49057531623829,2.86289998209602,4.03471701624354,2.19119349672711,3.59704843140914,1.06238990746025,2.67151699881723,1.62102104117594,1.66547220619669,0.624334294995801,1.70779287548507,1.08258800732169,1.97451736912351,1.01226815635762,2.79459092329349,2.44987989204202,1.13007048407859,0.560973170165956
"RP11-54O7.1",0.00250835380541157,0.000915838752578979,0.00485541977247985,0.00112082176649307,0.00572068778711545,0.00163045177392315,0.000666320650865577,0.00363824311141969,0.00296678535927578,0.0399215537574252,0.123457988428874,0.00498888315988085,0.00117682750094446,0.00147366054912285,0.00359846855905361,0.0132365667726923,0.0244795360018062,0.00299700585754065,0.0128625988754621,0.000782564027950582,0.0114797940660239,0.00760514674667131,0.00583747089969291
