"","UTSW15_N","UTSW24_N","UTSW31_N","UTSW32_N","UTSW37_N","UTSW39_N","UTSW45_N","UTSW46_N","UTSW47_N","UTSW48_N","UTSW49_N","UTSW50_N","UTSW52_N","UTSW54_N","UTSW60_N","UTSW62_N","UTSW65_N","UTSW70_N","UTSW79_N","XP615_N","XP659_N","XP681_N","XP685_N"
"RP11-34P13.15",0.0223918708534593,0.0148105769862972,0.0153988897276039,0.00348713032642401,0.0150046056625957,0.0239075605311678,0.0175724672728515,0.0100549210392119,0.00656380759140156,0.0162149693664205,0.0113008920670956,0.0155197632433924,0.0353860221649842,0.00847594552369928,0.0103393356468601,0.0174196967941839,0.0189750174591689,0.00154341431219265,0.0150744508436788,0.0155855375200748,0.0314996855352144,0.045147816243968,0.0302512448926334
"RP11-34P13.16",0.0188467308381491,0.0139080574511947,0.00740857694672501,0.00857834060300307,0.00706229155413066,0.016140321892062,0.0176166985820604,0.012528068759208,0.0149112585500318,0.010989906002008,0.0183074451486949,0.00632077630276346,0.0247803258075361,0.0117449591552415,0.0107132718366199,0.0176304189328233,0.0159893004262562,0.0030868286243853,0.013210864951308,0.00566746818911811,0.0120213947344176,0.0299154319103825,0.0181376245303128
"RP5-857K21.4",0.0252184014062066,0.0322284326295572,0.0232352136112068,0.0314364798927125,0.0317736786577513,0.0180588298359211,0.0171554292145961,0.0190976657914756,0.0392829615198446,0.0282484486299158,0.02424041348392,0.0146309040758163,0.0829043947865344,0.0146811989440519,0.013087766641595,0.0245842495079209,0.051497071192672,0.0231512146828898,0.0279286726727272,0.0141686704727953,3.69845577228387,0.0252652323878006,0.0276923758655217
"MTND1P23",3.32062725628655,4.03721672346319,4.72157334852297,3.21799360783061,5.55261949550587,1.31654694932844,3.22903090369449,3.09805199119186,2.33674404083283,3.95623661369732,38.4596027148541,1.52845682858766,2.79499023643139,3.67358832457643,1.78653623700618,3.58351259341516,0.432418255016713,34.6179804470388,3.34347401661594,5.00756236184767,12.5624926167609,0.61057715910926,6.01886592617975
"MTND2P28",15.8569705413455,60.5489479582784,58.1684846719051,37.2649218272525,35.9730799536766,14.9709252787514,24.7034136684771,35.155842583909,20.559600481343,44.3692445058083,52.358739381556,17.5693172861905,35.1449321408281,38.1880495706503,18.2141887446793,41.0395413142655,9.19581203261897,76.8476172575181,39.7524621050012,36.6095350084159,112.404394141575,9.43807816674305,52.2273739004445
"AC114498.1",5.18961549089859,1.35326247522765,0.345191778060455,0.878181465754991,3.11272821915852,2.57516583288643,3.55702501775389,7.343453547804,2.11515845803528,5.57196151064479,10.7577033889986,4.43820080358861,0.64562302954616,1.20190082021971,3.10333383243604,3.20063046750751,1.0572253775292,3.25776175946064,2.77107687481691,9.95136570656776,9.97314668364109,1.90248519991725,7.50856648038491
"MTCO1P12",84.5997841064374,102.04675761308,68.806328563651,81.9059960774733,84.0622794798617,58.9259928235651,107.661205542414,111.059314746638,83.2370281738162,121.848074622908,188.732254401232,60.9072261954395,50.2554814360117,121.053982492635,59.1206764681261,92.2641545738092,20.6660071103093,195.27676078754,107.529553975188,114.798039494853,380.557754670933,26.8189568819487,171.887626789715
"MIR6723",2.51713564400575,4.44875791762775,1.9885955095453,3.22559555194221,3.50465665595748,1.66415418014435,3.08968332341107,2.91628995702149,2.47509768954203,4.32048686429826,47.2439330302044,1.66100971556191,1.42917066319938,2.10129064246426,1.64531923494337,2.22814779768704,1.01624379220245,42.1450114037418,3.54476640870482,2.26061137393449,10.7545120065105,0.623999713042573,5.80942413661132
"MTCO2P12",0.784596974145152,1.28821164412064,1.43620311526119,1.2372687111185,4.35091110865921,0.43502750169904,0.841639670385473,0.76947360123724,1.31221929069667,1.01478503358424,1.26968912641439,0.50902001663192,0.843622988997317,0.933567653386295,0.576179577991477,0.960162448781358,0.23574069309866,1.68724509194588,0.925287976561098,1.20946604889875,3.4045290819211,0.234485885083744,1.70759399291602
"MTATP8P1",0.00431165677537727,0.0447402846461062,0.0921024704485467,0.0467798533289781,0.0175429621761029,0.022524992053407,0.0451791229776657,0.0310337069111479,0.0527958436699691,0.0484577846178912,0.043508434458318,0.0197524259461358,0.036397051369698,0.0215324251179427,0.0177619690135932,0.0243454310841296,0.000654762507217699,0.0841160800144994,0.00452082831033353,0.00283373409455905,0.106828692230687,0.00461187370234081,0.0167433689706686
"MTATP6P1",26.2384914919633,74.6365219446946,78.0408203048879,47.8022450693824,68.7455886328213,24.4689532382864,45.6692248399757,50.2060827711998,9.45613513740572,54.1357155954474,91.4871062871567,21.5218623712663,37.1144170316107,48.7257639492565,37.6368644674246,60.4958535302559,9.90665494857987,71.8321381086169,46.5475784902716,55.1234250044671,166.864618488725,12.6036376153736,67.6591748676591
"MTCO3P12",3.33610131338041,5.68922087865194,7.71660607090951,6.22177279970899,6.85151067458396,2.63313273485008,4.16698109050312,5.04502082330122,5.41586898940012,5.88965399966944,6.623498044093,2.28827621923281,4.39041454205392,4.50239094229797,2.43625036671394,4.90169195574472,0.650912503675259,8.66670351896915,4.44903755676544,5.37063454271305,16.6209568593843,1.04858592494644,7.23262690212473
"RP11-54O7.1",0.00670702165058686,0.00617107374429051,0.0034219754950231,0.00523069548963602,0.00840222539314231,0.000776723863910585,0.00821438599593921,0.0190976657914756,0.00570765877513179,0.0151138196491269,0.0129960258771599,0.00564355027032452,0.0202205840942767,0.00195749319254025,0.00560904284639787,0.00421444277278644,0.0275000253031434,0.00463024293657795,0.0020092570268149,0.00708433523639764,0.00717821252142956,0.0242730194860043,0.0127123301026384
