"","UTSW15_T","UTSW24_T","UTSW31_T","UTSW32_T","UTSW37_T","UTSW39_T","UTSW45_T","UTSW46_T","UTSW47_T","UTSW48_T","UTSW49_T","UTSW50_T","UTSW52_T","UTSW54_T","UTSW60_T","UTSW62_T","UTSW65_T","UTSW70_T","UTSW79_T","XP615_T","XP659_T","XP681_T","XP685_T"
"RP11-34P13.15",0.0213280946101582,0.00263021042001675,0.375136259028708,0.00177552868043821,0.00397769411928119,0.0192282456998995,0.0401600431034352,0.0351620619759816,0.0873257341440478,0.0405375712536685,0.0224726452177025,0.0309611424711369,0.0283568678977887,0.126406619566639,0.0138036735021817,0.00740838688700524,0.0159523153687426,0.0107320471582227,0.0149394123894459,0.119946631949525,0.0448095902726333,0.0793964177201839,0.0822700724423131
"RP11-34P13.16",0.0189410429617365,0.00523576261734585,0.0361866132858985,0.00951387451268143,0.00610973816721591,0.0252589227603225,0.0419145096329539,0.028990058927669,0.0764733640692461,0.0310748765685825,0.0247544830398077,0.0172915059838802,0.028117713590217,0.125464990120657,0.0175439326822207,0.00370419344350262,0.022255896956876,0.0100695751114188,0.0163170909948604,0.0128779414878572,0.0260204943514125,0.0681669568893422,0.0448436813806078
"RP5-857K21.4",0.0403115112697957,0.0154113891797857,0.0375136259028708,0.0222384967224886,0.0144549404294678,0.0147707887421955,0.0211651540295124,0.0250895365551294,0.0259937747919225,0.0423994713286917,0.0145622741010712,0.020714756830689,0.0243595744712329,0.0328143594811816,0.0244598836188966,0.0148167737740105,0.0349984131120292,0.0218118921410173,0.0303761331535293,0.0217619289556236,0.127406372342338,0.0151010040805131,0.012157557333656
"MTND1P23",0.328396158732569,0.772558555619421,3.459598450867,1.56190298803682,0.0110023019339318,0.192719462583083,1.07481864854328,1.05021564880628,1.98197897664516,2.37147148669499,4.40578629624082,0.355761052168347,0.515890006333264,0.0321010038402864,0.00893427947533847,0.26207168612781,0.485259765447229,2.44314722320915,1.28297496196327,13.2901380245461,0.716364064490076,0.818738083186147,0.526117703441279
"MTND2P28",7.15788510824369,29.1517892409196,37.8197319863436,32.2566953607762,0.275853087172151,12.6677430693274,33.5657944501262,15.0315807325512,24.5339950532275,37.3482778352862,7.3154061058276,7.89699573248814,16.7043475805657,2.21710933190244,2.7159221612038,6.54962520003081,9.84862112621445,9.07407836668661,135.338213434474,94.726374051082,36.5883973173083,22.0268058144434,12.3033583154116
"AC114498.1",0.696284603908847,2.81658548649763,3.2069556641742,2.69399487075657,0.0322193223661776,0.271817473303124,1.43078266696009,2.21928250872876,5.37816515386941,5.30612060937372,3.1254678382378,1.65778808585455,1.03932191458031,0.177853828388004,0.119264868193697,0.477840954211838,1.39606929651299,0.179695542695549,0.389110201236581,8.41654123379953,2.52865701107344,1.23402959324782,0.762149006829291
"MTCO1P12",22.2387689385971,36.5680291740896,117.949398343291,53.9328673540977,0.364221539726101,9.71928387370482,39.9860061085619,31.0504410382153,61.4541288576143,44.0794708368917,42.2521824618358,7.79002206438786,29.2877931224621,7.75203574960871,1.36649310578806,10.2017747256522,17.3746914835091,3.90050291717181,14.7546287263509,244.821879966651,47.6000322668778,22.2524870047974,13.8147764003688
"MIR6723",0.597116026254595,0.98345211485939,2.6131940764993,1.6132601551185,0.00954646588627486,0.252589227603225,0.982704085031027,0.700946814594609,1.68407029379451,0.953634579564862,10.3580916337435,0.11975536238836,0.704864615441269,0.107003346134288,0.0409311381966533,0.235216283662416,0.49452177643102,3.09354571696002,0.31890235542797,4.68862039462378,1.17188782560395,0.484737068926804,0.395335436201561
"MTCO2P12",0.453349131559565,0.737954849781076,1.11706390928324,0.854724710690619,0.0178996235367654,0.19438008380262,0.447743914903198,0.256023405258721,1.33654724479323,0.33142999753181,0.371662978600465,0.0622494215419688,0.644110880092783,0.0342410707629721,0.0204655690983267,0.0250033057436427,0.109809938156472,0.328205213787806,0.7640807157132,3.05670614337625,0.645671919836086,0.310620863844917,0.293868226625794
"MTATP8P1",0.00564982638679688,0.0119181409657009,0.0276375896957885,0.0125766614864373,0.000795538823856238,0.00524406700906349,0.014705066287874,0.00611464242518701,0.0342999168081716,0.0159086398815269,0.00944542565150205,0.00350503499673248,0.00363002073992777,0.00285342256358101,0.00564567423402115,0.00740838688700524,0.000966806992045005,0.00414045029252417,0.00336019172052315,0.0217619289556236,0.0064789985935244,0.00158832543576262,0.00141641444663954
"MTATP6P1",11.7134389958798,27.5411552319996,71.2011171583829,30.7297998798887,0.530624395512111,15.9504066554376,24.4819983571302,10.922036249342,8.01074248046589,23.2627916525376,17.3538053460341,8.91777875803652,9.96326240691549,5.91919683434372,7.13566646367843,8.37642228056299,9.35571391746015,11.0180197790267,29.123373035517,115.324142216657,26.7219776191329,16.7507341776223,10.8633700109985
"MTCO3P12",1.14923118533835,1.71142038445196,5.03096002567603,3.43828169752393,0.0165074305950169,0.750251186763351,1.19891926658791,1.05408175480494,5.43222923895731,2.60197000231178,1.07983480402084,0.357256533766953,1.46886013342964,0.145524550742631,0.0508110681061904,0.077788062313555,0.657264397401956,0.847748916493739,1.22324419393925,6.1698140861516,2.2007110022647,0.926680679800574,0.592155666325103
"RP11-54O7.1",0.00211868489504883,0.000821940756255236,0.0051038946806627,0.00443882170109554,0.013524160005556,0.0017480223363545,0.003042427507836,0.00229442492502327,0.0296647929151755,0.0271036086870458,0.00553172805358832,0.00233668999782165,0.00256236758112548,0.00285342256358101,0.00141141855850529,0.00185209672175131,0.0174025258568101,0.00331236023401934,0.00806446012925556,0.00256022693595571,0.00710599845741386,0.00238248815364393,0.00660993408431784
